,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
204,Looking for Alaska ,John Green,contemporary,2005,4.06,961734,https://images.gr-assets.com/books/1394798630s/99561.jpg
205,Anna and the French Kiss ,Stephanie Perkins,contemporary,2010,4.03,328537,https://images.gr-assets.com/books/1358271931s/6936382.jpg
206,To All the Boys I've Loved Before ,Jenny Han,contemporary,2014,4.15,291105,https://images.gr-assets.com/books/1372086100s/15749186.jpg
207,Paper Towns ,John Green,contemporary,2008,3.84,758282,https://images.gr-assets.com/books/1349013610s/6442769.jpg
208,Simon vs. the Homo Sapiens Agenda ,Becky Albertalli,contemporary,2015,4.33,193663,https://images.gr-assets.com/books/1402915678s/19547856.jpg
209,The Hate U Give ,Angie Thomas,contemporary,2017,4.55,265912,https://images.gr-assets.com/books/1535002553s/32075671.jpg
210,If I Stay ,Gayle Forman,contemporary,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
211,Thirteen Reasons Why ,Jay Asher,contemporary,2007,3.97,674163,https://images.gr-assets.com/books/1496655158s/29844228.jpg
212,Me Before You ,Jojo Moyes,contemporary,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
213,We Were Liars ,E. Lockhart,contemporary,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
214,"Everything, Everything ",Nicola Yoon,contemporary,2015,4.08,267701,https://images.gr-assets.com/books/1450515891s/18692431.jpg
215,Aristotle and Dante Discover the Secrets of the Universe ,Benjamin Alire Sáenz,contemporary,2012,4.34,177415,https://images.gr-assets.com/books/1328320260s/12000020.jpg
216,Lola and the Boy Next Door ,Stephanie Perkins,contemporary,2011,3.98,135075,https://images.gr-assets.com/books/1358271832s/9961796.jpg
217,I'll Give You the Sun ,Jandy Nelson,contemporary,2014,4.13,207907,https://images.gr-assets.com/books/1451382614s/20820994.jpg
218,P.S. I Still Love You ,Jenny Han,contemporary,2015,4.14,134967,https://images.gr-assets.com/books/1422881430s/20698530.jpg
219,All the Bright Places ,Jennifer Niven,contemporary,2015,4.18,209978,https://images.gr-assets.com/books/1404331702s/18460392.jpg
220,An Abundance of Katherines ,John Green,contemporary,2006,3.6,395756,https://images.gr-assets.com/books/1360206426s/49750.jpg
221,Isla and the Happily Ever After ,Stephanie Perkins,contemporary,2014,4.06,92671,https://images.gr-assets.com/books/1362064564s/9627755.jpg
222,Since You've Been Gone ,Morgan Matson,contemporary,2014,4.15,81301,https://images.gr-assets.com/books/1377702326s/18189606.jpg
223,Attachments ,Rainbow Rowell,contemporary,2011,3.92,144646,https://images.gr-assets.com/books/1499377988s/8909152.jpg
224,Gone Girl ,Gillian Flynn,contemporary,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
225,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,contemporary,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
226,My Life Next Door ,Huntley Fitzpatrick,contemporary,2012,4.0,121023,https://images.gr-assets.com/books/1394240144s/12294652.jpg
227,Where She Went ,Gayle Forman,contemporary,2011,4.04,238332,https://images.gr-assets.com/books/1347810457s/8492825.jpg
228,Turtles All the Way Down ,John Green,contemporary,2017,4.0,190353,https://images.gr-assets.com/books/1503002776s/35504431.jpg
229,Amy & Roger's Epic Detour ,Morgan Matson,contemporary,2010,4.02,80162,https://images.gr-assets.com/books/1327989202s/7664334.jpg
230,"Will Grayson, Will Grayson ",John Green,contemporary,2010,3.8,295634,https://images.gr-assets.com/books/1368393890s/6567017.jpg
231,The Sun Is Also a Star ,Nicola Yoon,contemporary,2016,4.1,99603,https://images.gr-assets.com/books/1459793538s/28763485.jpg
232,Wonder ,R.J. Palacio,contemporary,2012,4.45,568162,https://images.gr-assets.com/books/1545695751s/11387515.jpg
233,The DUFF: Designated Ugly Fat Friend ,Kody Keplinger,contemporary,2010,3.84,165231,https://images.gr-assets.com/books/1271108843s/6931356.jpg
234,Before I Fall ,Lauren Oliver,contemporary,2010,3.91,268125,https://images.gr-assets.com/books/1361044695s/6482837.jpg
235,Room ,Emma Donoghue,contemporary,2010,4.05,629941,https://images.gr-assets.com/books/1472239721s/31685789.jpg
236,Landline ,Rainbow Rowell,contemporary,2014,3.55,139855,https://images.gr-assets.com/books/1499378092s/18081809.jpg
237,The Kite Runner ,Khaled Hosseini,contemporary,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
238,Beautiful Disaster ,Jamie McGuire,contemporary,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
239,Speak ,Laurie Halse Anderson,contemporary,1999,4.01,415975,https://images.gr-assets.com/books/1529044298s/39280444.jpg
240,Eleanor Oliphant Is Completely Fine ,Gail Honeyman,contemporary,2017,4.33,314785,https://images.gr-assets.com/books/1493724347s/31434883.jpg
241,The Hating Game ,Sally  Thorne,contemporary,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
242,Eliza and Her Monsters ,Francesca Zappia,contemporary,2017,4.26,27803,https://images.gr-assets.com/books/1476994065s/31931941.jpg
243,The Upside of Unrequited ,Becky Albertalli,contemporary,2017,4.01,42829,https://images.gr-assets.com/books/1487956734s/30653853.jpg
244,The Rosie Project ,Graeme Simsion,contemporary,2013,4.01,369653,https://images.gr-assets.com/books/1371651741s/16181775.jpg
245,Me and Earl and the Dying Girl ,Jesse Andrews,contemporary,2012,3.57,108966,https://images.gr-assets.com/books/1337216932s/12700353.jpg
246,The Lovely Bones ,Alice Sebold,contemporary,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
247,Hopeless ,Colleen Hoover,contemporary,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
248,It Ends with Us ,Colleen Hoover,contemporary,2016,4.41,142798,https://images.gr-assets.com/books/1470427482s/27362503.jpg
249,"Always and Forever, Lara Jean ",Jenny Han,contemporary,2017,4.17,78715,https://images.gr-assets.com/books/1495992139s/35247769.jpg
250,The Fault in Our Stars ,John Green,contemporary,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
251,Fangirl ,Rainbow Rowell,contemporary,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
252,Eleanor & Park ,Rainbow Rowell,contemporary,2013,4.09,715358,https://images.gr-assets.com/books/1341952742s/15745753.jpg
253,The Perks of Being a Wallflower ,Stephen Chbosky,contemporary,1999,4.2,1083199,https://images.gr-assets.com/books/1520093244s/22628.jpg
254,Looking for Alaska ,John Green,contemporary,2005,4.06,961734,https://images.gr-assets.com/books/1394798630s/99561.jpg
255,Anna and the French Kiss ,Stephanie Perkins,contemporary,2010,4.03,328537,https://images.gr-assets.com/books/1358271931s/6936382.jpg
256,To All the Boys I've Loved Before ,Jenny Han,contemporary,2014,4.15,291105,https://images.gr-assets.com/books/1372086100s/15749186.jpg
257,Paper Towns ,John Green,contemporary,2008,3.84,758282,https://images.gr-assets.com/books/1349013610s/6442769.jpg
258,Simon vs. the Homo Sapiens Agenda ,Becky Albertalli,contemporary,2015,4.33,193663,https://images.gr-assets.com/books/1402915678s/19547856.jpg
259,The Hate U Give ,Angie Thomas,contemporary,2017,4.55,265912,https://images.gr-assets.com/books/1535002553s/32075671.jpg
260,If I Stay ,Gayle Forman,contemporary,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
261,Thirteen Reasons Why ,Jay Asher,contemporary,2007,3.97,674163,https://images.gr-assets.com/books/1496655158s/29844228.jpg
262,Me Before You ,Jojo Moyes,contemporary,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
263,We Were Liars ,E. Lockhart,contemporary,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
264,"Everything, Everything ",Nicola Yoon,contemporary,2015,4.08,267701,https://images.gr-assets.com/books/1450515891s/18692431.jpg
265,Aristotle and Dante Discover the Secrets of the Universe ,Benjamin Alire Sáenz,contemporary,2012,4.34,177415,https://images.gr-assets.com/books/1328320260s/12000020.jpg
266,Lola and the Boy Next Door ,Stephanie Perkins,contemporary,2011,3.98,135075,https://images.gr-assets.com/books/1358271832s/9961796.jpg
267,I'll Give You the Sun ,Jandy Nelson,contemporary,2014,4.13,207907,https://images.gr-assets.com/books/1451382614s/20820994.jpg
268,P.S. I Still Love You ,Jenny Han,contemporary,2015,4.14,134967,https://images.gr-assets.com/books/1422881430s/20698530.jpg
269,All the Bright Places ,Jennifer Niven,contemporary,2015,4.18,209978,https://images.gr-assets.com/books/1404331702s/18460392.jpg
270,An Abundance of Katherines ,John Green,contemporary,2006,3.6,395756,https://images.gr-assets.com/books/1360206426s/49750.jpg
271,Isla and the Happily Ever After ,Stephanie Perkins,contemporary,2014,4.06,92671,https://images.gr-assets.com/books/1362064564s/9627755.jpg
272,Since You've Been Gone ,Morgan Matson,contemporary,2014,4.15,81301,https://images.gr-assets.com/books/1377702326s/18189606.jpg
273,Attachments ,Rainbow Rowell,contemporary,2011,3.92,144646,https://images.gr-assets.com/books/1499377988s/8909152.jpg
274,Gone Girl ,Gillian Flynn,contemporary,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
275,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,contemporary,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
276,My Life Next Door ,Huntley Fitzpatrick,contemporary,2012,4.0,121023,https://images.gr-assets.com/books/1394240144s/12294652.jpg
277,Where She Went ,Gayle Forman,contemporary,2011,4.04,238332,https://images.gr-assets.com/books/1347810457s/8492825.jpg
278,Turtles All the Way Down ,John Green,contemporary,2017,4.0,190353,https://images.gr-assets.com/books/1503002776s/35504431.jpg
279,Amy & Roger's Epic Detour ,Morgan Matson,contemporary,2010,4.02,80162,https://images.gr-assets.com/books/1327989202s/7664334.jpg
280,"Will Grayson, Will Grayson ",John Green,contemporary,2010,3.8,295634,https://images.gr-assets.com/books/1368393890s/6567017.jpg
281,The Sun Is Also a Star ,Nicola Yoon,contemporary,2016,4.1,99603,https://images.gr-assets.com/books/1459793538s/28763485.jpg
282,Wonder ,R.J. Palacio,contemporary,2012,4.45,568162,https://images.gr-assets.com/books/1545695751s/11387515.jpg
283,The DUFF: Designated Ugly Fat Friend ,Kody Keplinger,contemporary,2010,3.84,165231,https://images.gr-assets.com/books/1271108843s/6931356.jpg
284,Before I Fall ,Lauren Oliver,contemporary,2010,3.91,268125,https://images.gr-assets.com/books/1361044695s/6482837.jpg
285,Room ,Emma Donoghue,contemporary,2010,4.05,629941,https://images.gr-assets.com/books/1472239721s/31685789.jpg
286,Landline ,Rainbow Rowell,contemporary,2014,3.55,139855,https://images.gr-assets.com/books/1499378092s/18081809.jpg
287,The Kite Runner ,Khaled Hosseini,contemporary,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
288,Beautiful Disaster ,Jamie McGuire,contemporary,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
289,Speak ,Laurie Halse Anderson,contemporary,1999,4.01,415975,https://images.gr-assets.com/books/1529044298s/39280444.jpg
290,Eleanor Oliphant Is Completely Fine ,Gail Honeyman,contemporary,2017,4.33,314785,https://images.gr-assets.com/books/1493724347s/31434883.jpg
291,The Hating Game ,Sally  Thorne,contemporary,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
292,Eliza and Her Monsters ,Francesca Zappia,contemporary,2017,4.26,27803,https://images.gr-assets.com/books/1476994065s/31931941.jpg
293,The Upside of Unrequited ,Becky Albertalli,contemporary,2017,4.01,42829,https://images.gr-assets.com/books/1487956734s/30653853.jpg
294,The Rosie Project ,Graeme Simsion,contemporary,2013,4.01,369653,https://images.gr-assets.com/books/1371651741s/16181775.jpg
295,Me and Earl and the Dying Girl ,Jesse Andrews,contemporary,2012,3.57,108966,https://images.gr-assets.com/books/1337216932s/12700353.jpg
296,The Lovely Bones ,Alice Sebold,contemporary,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
297,Hopeless ,Colleen Hoover,contemporary,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
298,It Ends with Us ,Colleen Hoover,contemporary,2016,4.41,142798,https://images.gr-assets.com/books/1470427482s/27362503.jpg
299,"Always and Forever, Lara Jean ",Jenny Han,contemporary,2017,4.17,78715,https://images.gr-assets.com/books/1495992139s/35247769.jpg
300,The Fault in Our Stars ,John Green,contemporary,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
301,Fangirl ,Rainbow Rowell,contemporary,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
302,Eleanor & Park ,Rainbow Rowell,contemporary,2013,4.09,715358,https://images.gr-assets.com/books/1341952742s/15745753.jpg
303,The Perks of Being a Wallflower ,Stephen Chbosky,contemporary,1999,4.2,1083199,https://images.gr-assets.com/books/1520093244s/22628.jpg
304,Looking for Alaska ,John Green,contemporary,2005,4.06,961734,https://images.gr-assets.com/books/1394798630s/99561.jpg
305,Anna and the French Kiss ,Stephanie Perkins,contemporary,2010,4.03,328537,https://images.gr-assets.com/books/1358271931s/6936382.jpg
306,To All the Boys I've Loved Before ,Jenny Han,contemporary,2014,4.15,291113,https://images.gr-assets.com/books/1372086100s/15749186.jpg
307,Paper Towns ,John Green,contemporary,2008,3.84,758282,https://images.gr-assets.com/books/1349013610s/6442769.jpg
308,Simon vs. the Homo Sapiens Agenda ,Becky Albertalli,contemporary,2015,4.33,193663,https://images.gr-assets.com/books/1402915678s/19547856.jpg
309,The Hate U Give ,Angie Thomas,contemporary,2017,4.55,265912,https://images.gr-assets.com/books/1535002553s/32075671.jpg
310,If I Stay ,Gayle Forman,contemporary,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
311,Thirteen Reasons Why ,Jay Asher,contemporary,2007,3.97,674163,https://images.gr-assets.com/books/1496655158s/29844228.jpg
312,Me Before You ,Jojo Moyes,contemporary,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
313,We Were Liars ,E. Lockhart,contemporary,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
314,"Everything, Everything ",Nicola Yoon,contemporary,2015,4.08,267701,https://images.gr-assets.com/books/1450515891s/18692431.jpg
315,Aristotle and Dante Discover the Secrets of the Universe ,Benjamin Alire Sáenz,contemporary,2012,4.34,177415,https://images.gr-assets.com/books/1328320260s/12000020.jpg
316,Lola and the Boy Next Door ,Stephanie Perkins,contemporary,2011,3.98,135075,https://images.gr-assets.com/books/1358271832s/9961796.jpg
317,I'll Give You the Sun ,Jandy Nelson,contemporary,2014,4.13,207907,https://images.gr-assets.com/books/1451382614s/20820994.jpg
318,P.S. I Still Love You ,Jenny Han,contemporary,2015,4.14,134967,https://images.gr-assets.com/books/1422881430s/20698530.jpg
319,All the Bright Places ,Jennifer Niven,contemporary,2015,4.18,209978,https://images.gr-assets.com/books/1404331702s/18460392.jpg
320,An Abundance of Katherines ,John Green,contemporary,2006,3.6,395756,https://images.gr-assets.com/books/1360206426s/49750.jpg
321,Isla and the Happily Ever After ,Stephanie Perkins,contemporary,2014,4.06,92671,https://images.gr-assets.com/books/1362064564s/9627755.jpg
322,Since You've Been Gone ,Morgan Matson,contemporary,2014,4.15,81301,https://images.gr-assets.com/books/1377702326s/18189606.jpg
323,Attachments ,Rainbow Rowell,contemporary,2011,3.92,144646,https://images.gr-assets.com/books/1499377988s/8909152.jpg
324,Gone Girl ,Gillian Flynn,contemporary,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
325,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,contemporary,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
326,My Life Next Door ,Huntley Fitzpatrick,contemporary,2012,4.0,121023,https://images.gr-assets.com/books/1394240144s/12294652.jpg
327,Where She Went ,Gayle Forman,contemporary,2011,4.04,238333,https://images.gr-assets.com/books/1347810457s/8492825.jpg
328,Turtles All the Way Down ,John Green,contemporary,2017,4.0,190353,https://images.gr-assets.com/books/1503002776s/35504431.jpg
329,Amy & Roger's Epic Detour ,Morgan Matson,contemporary,2010,4.02,80162,https://images.gr-assets.com/books/1327989202s/7664334.jpg
330,"Will Grayson, Will Grayson ",John Green,contemporary,2010,3.8,295634,https://images.gr-assets.com/books/1368393890s/6567017.jpg
331,The Sun Is Also a Star ,Nicola Yoon,contemporary,2016,4.1,99603,https://images.gr-assets.com/books/1459793538s/28763485.jpg
332,Wonder ,R.J. Palacio,contemporary,2012,4.45,568162,https://images.gr-assets.com/books/1545695751s/11387515.jpg
333,The DUFF: Designated Ugly Fat Friend ,Kody Keplinger,contemporary,2010,3.84,165231,https://images.gr-assets.com/books/1271108843s/6931356.jpg
334,Before I Fall ,Lauren Oliver,contemporary,2010,3.91,268125,https://images.gr-assets.com/books/1361044695s/6482837.jpg
335,Room ,Emma Donoghue,contemporary,2010,4.05,629941,https://images.gr-assets.com/books/1472239721s/31685789.jpg
